storm,pr_max,pr_sum,MltnInd,SlopeMn,Tc_Clfr,Area_m2,RvrsSlD,MnRvrSD,nStrahler1,Dd_km-1,Ct_km,Tf_hr,L_toOutlet_km,V_m_s,LRiverNetwork_km
0,2.42666949185979,16.7522330521292,0.21,21.17,2.019418047526634,96671524.76051223,12.7,8.892297065638909,325.0,2.448,795.6,7.43,22.93844,0.8572292755292713,236.64
1,7.14392582654813,26.4797449104127,0.21,21.17,2.019418047526634,96671524.76051223,12.7,8.892297065638909,325.0,2.448,795.6,7.43,22.93844,0.8572292755292713,236.64
2,2.97547272619925,10.4252487773674,0.21,21.17,2.019418047526634,96671524.76051223,12.7,8.892297065638909,325.0,2.448,795.6,7.43,22.93844,0.8572292755292713,236.64
3,5.12857945133886,59.3373858378078,0.21,21.17,2.019418047526634,96671524.76051223,12.7,8.892297065638909,325.0,2.448,795.6,7.43,22.93844,0.8572292755292713,236.64
0,2.69407682340319,17.7772944897122,0.97,24.11,0.081632221053138,418786.8217626853,15.0,18.302869673147352,2.0,4.68,9.36,0.33,1.9295,1.6090321511948102,1.96
1,8.53109531128694,27.2592216952049,0.97,24.11,0.081632221053138,418786.8217626853,15.0,18.302869673147352,2.0,4.68,9.36,0.33,1.9295,1.6090321511948102,1.96
2,2.82791185688334,6.7880027880894,0.97,24.11,0.081632221053138,418786.8217626853,15.0,18.302869673147352,2.0,4.68,9.36,0.33,1.9295,1.6090321511948102,1.96
3,5.26326673773343,62.1630929737097,0.97,24.11,0.081632221053138,418786.8217626853,15.0,18.302869673147352,2.0,4.68,9.36,0.33,1.9295,1.6090321511948102,1.96
0,2.94131731189015,18.7250496955789,0.71,23.28,0.156866899914996,664737.0982422824,14.4,14.237032576084149,2.0,2.452,4.9,0.41,2.24884,1.5409068858208053,1.63
1,10.0569423260022,30.1706103341196,0.71,23.28,0.156866899914996,664737.0982422824,14.4,14.237032576084149,2.0,2.452,4.9,0.41,2.24884,1.5409068858208053,1.63
2,2.82114627746139,6.62123719005717,0.71,23.28,0.156866899914996,664737.0982422824,14.4,14.237032576084149,2.0,2.452,4.9,0.41,2.24884,1.5409068858208053,1.63
3,5.2653294401453,62.080892630292,0.71,23.28,0.156866899914996,664737.0982422824,14.4,14.237032576084149,2.0,2.452,4.9,0.41,2.24884,1.5409068858208053,1.63
0,2.83670387781349,18.3240315316184,0.61,24.12,0.352906856230769,2760112.0574083,17.1,15.713965076217296,13.0,2.917,37.92,0.89,4.43703,1.3774571212258513,8.05
1,9.42434353066176,29.265376937938,0.61,24.12,0.352906856230769,2760112.0574083,17.1,15.713965076217296,13.0,2.917,37.92,0.89,4.43703,1.3774571212258513,8.05
2,2.84030332878951,7.09344170086416,0.61,24.12,0.352906856230769,2760112.0574083,17.1,15.713965076217296,13.0,2.917,37.92,0.89,4.43703,1.3774571212258513,8.05
3,5.23552346631291,61.4034556471514,0.61,24.12,0.352906856230769,2760112.0574083,17.1,15.713965076217296,13.0,2.917,37.92,0.89,4.43703,1.3774571212258513,8.05
0,2.77856180121449,18.1011535713222,0.6,24.77,0.469676964244491,5540427.130612271,19.6,16.319850493335597,17.0,2.372,40.32,1.35,6.56073,1.349818538617241,13.14
1,9.09868548904657,29.1441332830767,0.6,24.77,0.469676964244491,5540427.130612271,19.6,16.319850493335597,17.0,2.372,40.32,1.35,6.56073,1.349818538617241,13.14
2,2.87092246778648,7.84817661824569,0.6,24.77,0.469676964244491,5540427.130612271,19.6,16.319850493335597,17.0,2.372,40.32,1.35,6.56073,1.349818538617241,13.14
3,5.20205255029988,60.6154876123759,0.6,24.77,0.469676964244491,5540427.130612271,19.6,16.319850493335597,17.0,2.372,40.32,1.35,6.56073,1.349818538617241,13.14
0,2.90866789977503,18.5998936158043,0.77,27.34,0.254597569981198,2857636.658090077,22.5,23.991173932013574,9.0,2.565,23.09,0.65,3.97969,1.6907855877698534,7.33
1,9.87908991514505,30.6672341825396,0.77,27.34,0.254597569981198,2857636.658090077,22.5,23.991173932013574,9.0,2.565,23.09,0.65,3.97969,1.6907855877698534,7.33
2,2.86543644963863,7.71295108319782,0.77,27.34,0.254597569981198,2857636.658090077,22.5,23.991173932013574,9.0,2.565,23.09,0.65,3.97969,1.6907855877698534,7.33
3,5.21838348727122,60.8075211355957,0.77,27.34,0.254597569981198,2857636.658090077,22.5,23.991173932013574,9.0,2.565,23.09,0.65,3.97969,1.6907855877698534,7.33
0,2.82775252374537,18.2897180076906,0.66,26.47,0.395243951608638,4578773.025556286,22.0,20.0513224176706,24.0,3.405,81.72,0.98,5.438350000000001,1.5458393284257,15.59
1,9.42683500970094,30.4847099611546,0.66,26.47,0.395243951608638,4578773.025556286,22.0,20.0513224176706,24.0,3.405,81.72,0.98,5.438350000000001,1.5458393284257,15.59
2,2.90654688009719,8.72628713222013,0.66,26.47,0.395243951608638,4578773.025556286,22.0,20.0513224176706,24.0,3.405,81.72,0.98,5.438350000000001,1.5458393284257,15.59
3,5.18454081297985,60.0492411139907,0.66,26.47,0.395243951608638,4578773.025556286,22.0,20.0513224176706,24.0,3.405,81.72,0.98,5.438350000000001,1.5458393284257,15.59
0,2.88887027947174,18.524002737975,1.19,26.81,0.17815134432771,853822.8114658379,24.3,24.13958795878064,3.0,3.549,10.65,0.51,3.13462,1.7183796387325414,3.03
1,9.79167689775642,31.4402107817986,1.19,26.81,0.17815134432771,853822.8114658379,24.3,24.13958795878064,3.0,3.549,10.65,0.51,3.13462,1.7183796387325414,3.03
2,2.91512109402113,8.93763398420514,1.19,26.81,0.17815134432771,853822.8114658379,24.3,24.13958795878064,3.0,3.549,10.65,0.51,3.13462,1.7183796387325414,3.03
3,5.20475843304095,60.3300067366374,1.19,26.81,0.17815134432771,853822.8114658379,24.3,24.13958795878064,3.0,3.549,10.65,0.51,3.13462,1.7183796387325414,3.03
0,2.92323096522344,18.6557187000232,1.18,28.84,0.094130020837511,226144.4461177461,25.9,26.190810486232763,1.0,5.085,5.08,0.18,1.29518,1.9965545814089625,1.15
1,9.98625491852219,31.6613828543267,1.18,28.84,0.094130020837511,226144.4461177461,25.9,26.190810486232763,1.0,5.085,5.08,0.18,1.29518,1.9965545814089625,1.15
2,2.90479619977695,8.68313439801087,1.18,28.84,0.094130020837511,226144.4461177461,25.9,26.190810486232763,1.0,5.085,5.08,0.18,1.29518,1.9965545814089625,1.15
0,2.7516108571253,17.9978416189803,0.57,25.44,0.49178248870822,7099650.149749627,17.9,18.2505990948949,21.0,2.379,49.96,1.09,5.79503,1.4775476090210773,16.89
1,9.07155472981644,31.1766696486969,0.57,25.44,0.49178248870822,7099650.149749627,17.9,18.2505990948949,21.0,2.379,49.96,1.09,5.79503,1.4775476090210773,16.89
2,2.9881629289533,10.7380511434981,0.57,25.44,0.49178248870822,7099650.149749627,17.9,18.2505990948949,21.0,2.379,49.96,1.09,5.79503,1.4775476090210773,16.89
3,5.13177752515559,58.8482467465617,0.57,25.44,0.49178248870822,7099650.149749627,17.9,18.2505990948949,21.0,2.379,49.96,1.09,5.79503,1.4775476090210773,16.89
0,2.8007692308229,18.1862820514878,0.74,27.19,0.439136748686276,5126786.622314403,19.8,15.129903312266515,22.0,3.283,72.23,1.13,6.33461,1.5594451191608816,16.83
1,9.60501070415999,37.130930559642,0.74,27.19,0.439136748686276,5126786.622314403,19.8,15.129903312266515,22.0,3.283,72.23,1.13,6.33461,1.5594451191608816,16.83
2,3.22426638646128,16.5577942627738,0.74,27.19,0.439136748686276,5126786.622314403,19.8,15.129903312266515,22.0,3.283,72.23,1.13,6.33461,1.5594451191608816,16.83
3,5.25371302384538,60.6602664794771,0.74,27.19,0.439136748686276,5126786.622314403,19.8,15.129903312266515,22.0,3.283,72.23,1.13,6.33461,1.5594451191608816,16.83
0,2.84651226214,18.3616303382033,0.48,25.18,0.127438375190933,711438.7819584775,15.2,13.763440716977778,3.0,3.092,9.28,0.27,1.4767,1.495438337337389,2.2
1,9.66752291088355,34.0159481967138,0.48,25.18,0.127438375190933,711438.7819584775,15.2,13.763440716977778,3.0,3.092,9.28,0.27,1.4767,1.495438337337389,2.2
2,3.06159439911917,12.5480724695164,0.48,25.18,0.127438375190933,711438.7819584775,15.2,13.763440716977778,3.0,3.092,9.28,0.27,1.4767,1.495438337337389,2.2
3,5.22273085468936,60.3289815664649,0.48,25.18,0.127438375190933,711438.7819584775,15.2,13.763440716977778,3.0,3.092,9.28,0.27,1.4767,1.495438337337389,2.2
0,2.87189196107205,18.4589191841095,0.42,25.88,0.583400301542312,12212288.482993098,20.7,14.125485378436894,49.0,3.207,157.14,1.54,7.17684,1.2975911691844082,39.17
1,9.84155710758081,35.5341398751147,0.42,25.88,0.583400301542312,12212288.482993098,20.7,14.125485378436894,49.0,3.207,157.14,1.54,7.17684,1.2975911691844082,39.17
2,3.11468347182043,13.8566715422404,0.42,25.88,0.583400301542312,12212288.482993098,20.7,14.125485378436894,49.0,3.207,157.14,1.54,7.17684,1.2975911691844082,39.17
3,5.32145821788537,61.9219444403938,0.42,25.88,0.583400301542312,12212288.482993098,20.7,14.125485378436894,49.0,3.207,157.14,1.54,7.17684,1.2975911691844082,39.17
0,2.98148773451401,18.879036315637,0.63,27.85,0.303691343383343,3735998.030248087,22.0,19.469103003603863,15.0,2.203,33.04,0.72,4.21372,1.618115445053106,8.23
1,10.3339761036162,33.0933468396238,0.63,27.85,0.303691343383343,3735998.030248087,22.0,19.469103003603863,15.0,2.203,33.04,0.72,4.21372,1.618115445053106,8.23
2,2.93789092270805,9.49889028780363,0.63,27.85,0.303691343383343,3735998.030248087,22.0,19.469103003603863,15.0,2.203,33.04,0.72,4.21372,1.618115445053106,8.23
3,5.31785620086208,62.203596821747,0.63,27.85,0.303691343383343,3735998.030248087,22.0,19.469103003603863,15.0,2.203,33.04,0.72,4.21372,1.618115445053106,8.23
0,2.98917342923708,18.9084981454088,0.91,27.32,0.078872884161534,419434.7559724801,26.2,28.22032082013969,4.0,4.601,18.4,0.24,1.54726,1.769850514455653,1.93
1,10.3691268638367,32.3609713063562,0.91,27.32,0.078872884161534,419434.7559724801,26.2,28.22032082013969,4.0,4.601,18.4,0.24,1.54726,1.769850514455653,1.93
2,2.89856747815462,8.5296018738112,0.91,27.32,0.078872884161534,419434.7559724801,26.2,28.22032082013969,4.0,4.601,18.4,0.24,1.54726,1.769850514455653,1.93
3,5.27114112212334,61.5094161837906,0.91,27.32,0.078872884161534,419434.7559724801,26.2,28.22032082013969,4.0,4.601,18.4,0.24,1.54726,1.769850514455653,1.93
0,3.03615639614794,19.0885995185671,0.88,27.19,0.255305721777107,1975073.853133068,23.9,23.47762003776577,5.0,3.428,17.14,0.63,3.90811,1.7214769924887228,6.77
1,10.6427538729603,32.6959573059349,0.88,27.19,0.255305721777107,1975073.853133068,23.9,23.47762003776577,5.0,3.428,17.14,0.63,3.90811,1.7214769924887228,6.77
2,2.88658269658198,8.23418752101188,0.88,27.19,0.255305721777107,1975073.853133068,23.9,23.47762003776577,5.0,3.428,17.14,0.63,3.90811,1.7214769924887228,6.77
3,5.3145149783014,62.294675545683,0.88,27.19,0.255305721777107,1975073.853133068,23.9,23.47762003776577,5.0,3.428,17.14,0.63,3.90811,1.7214769924887228,6.77
0,3.044478251499,19.1204999640795,1.32,29.94,0.07546034728812,587847.1373637415,25.0,28.621938080137912,4.0,2.569,10.28,0.31,2.23834,2.001591839263744,1.51
1,10.6925493022951,32.3846650604574,1.32,29.94,0.07546034728812,587847.1373637415,25.0,28.621938080137912,4.0,2.569,10.28,0.31,2.23834,2.001591839263744,1.51
2,2.86682483857516,7.74717365259831,1.32,29.94,0.07546034728812,587847.1373637415,25.0,28.621938080137912,4.0,2.569,10.28,0.31,2.23834,2.001591839263744,1.51
3,5.28636530176072,61.8812373934039,1.32,29.94,0.07546034728812,587847.1373637415,25.0,28.621938080137912,4.0,2.569,10.28,0.31,2.23834,2.001591839263744,1.51
0,3.09628510931375,19.319092919036,0.86,27.41,0.169644178760078,1788935.0354706987,26.6,26.028782901383774,9.0,3.365,30.29,0.43,2.88403,1.8707453430216237,6.02
1,11.0063910903694,32.63296224254,0.86,27.41,0.169644178760078,1788935.0354706987,26.6,26.028782901383774,9.0,3.365,30.29,0.43,2.88403,1.8707453430216237,6.02
2,2.84818759685989,7.28778199277439,0.86,27.41,0.169644178760078,1788935.0354706987,26.6,26.028782901383774,9.0,3.365,30.29,0.43,2.88403,1.8707453430216237,6.02
3,5.30840922462795,62.3413516987479,0.86,27.41,0.169644178760078,1788935.0354706987,26.6,26.028782901383774,9.0,3.365,30.29,0.43,2.88403,1.8707453430216237,6.02
0,3.14512380982134,19.5063079376485,0.77,27.1,0.192279035465176,1457070.0946685723,24.4,22.29892912441877,8.0,4.77,38.16,0.4,2.60673,1.80701719788884,6.95
1,11.3128947426067,32.7746222511937,0.77,27.1,0.192279035465176,1457070.0946685723,24.4,22.29892912441877,8.0,4.77,38.16,0.4,2.60673,1.80701719788884,6.95
2,2.82645333681643,6.75205154784354,0.77,27.1,0.192279035465176,1457070.0946685723,24.4,22.29892912441877,8.0,4.77,38.16,0.4,2.60673,1.80701719788884,6.95
3,5.30002378985211,62.3249491470911,0.77,27.1,0.192279035465176,1457070.0946685723,24.4,22.29892912441877,8.0,4.77,38.16,0.4,2.60673,1.80701719788884,6.95
0,2.34802637599149,16.4507677746341,0.52,24.08,0.595479012112438,6687595.615454227,16.5,14.049006310389675,19.0,3.053,58.01,1.65,7.65149,1.2910571746776631,20.42
1,6.38037696639864,23.0100929564257,0.52,24.08,0.595479012112438,6687595.615454227,16.5,14.049006310389675,19.0,3.053,58.01,1.65,7.65149,1.2910571746776631,20.42
2,2.83137206793546,6.87329395525127,0.52,24.08,0.595479012112438,6687595.615454227,16.5,14.049006310389675,19.0,3.053,58.01,1.65,7.65149,1.2910571746776631,20.42
3,5.33397142904071,63.8943750195501,0.52,24.08,0.595479012112438,6687595.615454227,16.5,14.049006310389675,19.0,3.053,58.01,1.65,7.65149,1.2910571746776631,20.42
0,2.84294719609639,18.3479642517028,0.7,27.42,0.421135096688437,5227821.987767971,22.5,18.89237281213316,18.0,2.362,42.52,1.15,6.26968,1.5135642036083472,12.35
1,9.44930036402375,29.0111025744124,0.7,27.42,0.421135096688437,5227821.987767971,22.5,18.89237281213316,18.0,2.362,42.52,1.15,6.26968,1.5135642036083472,12.35
2,2.82354371912302,6.68033202399721,0.7,27.42,0.421135096688437,5227821.987767971,22.5,18.89237281213316,18.0,2.362,42.52,1.15,6.26968,1.5135642036083472,12.35
3,5.35906720723335,64.2470315860728,0.7,27.42,0.421135096688437,5227821.987767971,22.5,18.89237281213316,18.0,2.362,42.52,1.15,6.26968,1.5135642036083472,12.35
0,3.08495587547625,19.2756641893256,0.64,26.76,0.390303644601196,4816455.335406943,21.7,18.96371876820001,19.0,2.363,44.9,1.02,5.5733500000000005,1.5231731268778164,11.38
1,10.9463533311841,31.794697174502,0.64,26.76,0.390303644601196,4816455.335406943,21.7,18.96371876820001,19.0,2.363,44.9,1.02,5.5733500000000005,1.5231731268778164,11.38
2,2.81473419821913,6.46318506136621,0.64,26.76,0.390303644601196,4816455.335406943,21.7,18.96371876820001,19.0,2.363,44.9,1.02,5.5733500000000005,1.5231731268778164,11.38
3,5.36628429512449,64.2103236502889,0.64,26.76,0.390303644601196,4816455.335406943,21.7,18.96371876820001,19.0,2.363,44.9,1.02,5.5733500000000005,1.5231731268778164,11.38
0,3.25471945182657,19.9264245653352,0.74,24.59,0.221901896857548,1437285.705584646,20.6,19.0793487069695,4.0,3.214,12.86,0.3,1.74371,1.601898829410216,4.62
1,12.0123155770496,33.6113810508439,0.74,24.59,0.221901896857548,1437285.705584646,20.6,19.0793487069695,4.0,3.214,12.86,0.3,1.74371,1.601898829410216,4.62
2,2.80288863969148,6.17120243450064,0.74,24.59,0.221901896857548,1437285.705584646,20.6,19.0793487069695,4.0,3.214,12.86,0.3,1.74371,1.601898829410216,4.62
3,5.34330262528548,63.6352817662223,0.74,24.59,0.221901896857548,1437285.705584646,20.6,19.0793487069695,4.0,3.214,12.86,0.3,1.74371,1.601898829410216,4.62
0,3.23513560443431,19.8513531503315,0.93,28.22,0.221903315600896,1146306.8937914344,21.7,21.51132446415191,2.0,2.582,5.16,0.55,3.23058,1.6399582613051975,2.96
1,11.8862291134714,33.4425079485296,0.93,28.22,0.221903315600896,1146306.8937914344,21.7,21.51132446415191,2.0,2.582,5.16,0.55,3.23058,1.6399582613051975,2.96
2,2.80614849265589,6.25155495055303,0.93,28.22,0.221903315600896,1146306.8937914344,21.7,21.51132446415191,2.0,2.582,5.16,0.55,3.23058,1.6399582613051975,2.96
3,5.36398248314237,63.9305465295327,0.93,28.22,0.221903315600896,1146306.8937914344,21.7,21.51132446415191,2.0,2.582,5.16,0.55,3.23058,1.6399582613051975,2.96
0,2.68759786509967,17.7524584828821,0.22,20.73,2.166329230284417,127534683.89156212,15.4,7.601114824454508,470.0,2.737,1286.39,7.82,22.62349,0.8039819781951341,349.01
1,8.76041130176745,31.1076590811302,0.22,20.73,2.166329230284417,127534683.89156212,15.4,7.601114824454508,470.0,2.737,1286.39,7.82,22.62349,0.8039819781951341,349.01
2,3.02595962226196,11.6697064785623,0.22,20.73,2.166329230284417,127534683.89156212,15.4,7.601114824454508,470.0,2.737,1286.39,7.82,22.62349,0.8039819781951341,349.01
3,5.50981116223551,67.2936788804452,0.22,20.73,2.166329230284417,127534683.89156212,15.4,7.601114824454508,470.0,2.737,1286.39,7.82,22.62349,0.8039819781951341,349.01
0,3.04955116713676,19.1399461406909,0.89,26.21,0.42924894400579,2656453.1623622347,22.4,20.559058760812363,11.0,3.667,40.34,0.87,5.05954,1.6112453062791745,9.74
1,10.7225029968476,32.5207222184813,0.89,26.21,0.42924894400579,2656453.1623622347,22.4,20.559058760812363,11.0,3.667,40.34,0.87,5.05954,1.6112453062791745,9.74
2,2.87031893661508,7.83330010428397,0.89,26.21,0.42924894400579,2656453.1623622347,22.4,20.559058760812363,11.0,3.667,40.34,0.87,5.05954,1.6112453062791745,9.74
3,5.43554059424948,64.8702280570198,0.89,26.21,0.42924894400579,2656453.1623622347,22.4,20.559058760812363,11.0,3.667,40.34,0.87,5.05954,1.6112453062791745,9.74
0,3.01175106220076,18.9950457384363,1.2,25.15,0.184279770473722,1572281.5972215794,22.5,19.68016991576263,8.0,4.643,37.14,0.79,4.31306,1.5155911006404652,7.3
1,10.5012408482785,32.7483405469948,1.2,25.15,0.184279770473722,1572281.5972215794,22.5,19.68016991576263,8.0,4.643,37.14,0.79,4.31306,1.5155911006404652,7.3
2,2.90354606517604,8.65231967670756,1.2,25.15,0.184279770473722,1572281.5972215794,22.5,19.68016991576263,8.0,4.643,37.14,0.79,4.31306,1.5155911006404652,7.3
3,5.45430702532027,65.0560911050429,1.2,25.15,0.184279770473722,1572281.5972215794,22.5,19.68016991576263,8.0,4.643,37.14,0.79,4.31306,1.5155911006404652,7.3
0,2.93528559269031,18.7019281053128,0.64,27.99,0.302051959497328,7283943.283689892,26.3,24.904966261884468,25.0,4.244,106.1,0.67,4.35094,1.8050970004345184,30.91
1,10.1023175947747,33.9266362525833,0.64,27.99,0.302051959497328,7283943.283689892,26.3,24.904966261884468,25.0,4.244,106.1,0.67,4.35094,1.8050970004345184,30.91
2,3.00438093730702,11.1378108230942,0.64,27.99,0.302051959497328,7283943.283689892,26.3,24.904966261884468,25.0,4.244,106.1,0.67,4.35094,1.8050970004345184,30.91
3,5.50135077292147,65.5652655783125,0.64,27.99,0.302051959497328,7283943.283689892,26.3,24.904966261884468,25.0,4.244,106.1,0.67,4.35094,1.8050970004345184,30.91
0,2.94349163245315,18.7333845910704,1.28,29.25,0.09619464247193,761583.4600517419,23.7,28.03563935002026,4.0,4.386,17.54,0.35,2.36453,1.8993815023042724,3.34
1,10.1567284313874,34.54181303008,1.28,29.25,0.09619464247193,761583.4600517419,23.7,28.03563935002026,4.0,4.386,17.54,0.35,2.36453,1.8993815023042724,3.34
2,3.02785563261745,11.7164414706583,1.28,29.25,0.09619464247193,761583.4600517419,23.7,28.03563935002026,4.0,4.386,17.54,0.35,2.36453,1.8993815023042724,3.34
3,5.49093130790997,65.1152984667946,1.28,29.25,0.09619464247193,761583.4600517419,23.7,28.03563935002026,4.0,4.386,17.54,0.35,2.36453,1.8993815023042724,3.34
0,2.91356803878525,18.6186774820101,1.44,28.4,0.108500037564568,654011.0679539443,27.1,30.232077837745617,4.0,11.177,44.71,0.41,2.66595,1.8014208497567996,7.31
1,10.0365062354355,35.6286156068761,1.44,28.4,0.108500037564568,654011.0679539443,27.1,30.232077837745617,4.0,11.177,44.71,0.41,2.66595,1.8014208497567996,7.31
2,3.09463153287176,13.362408836576,1.44,28.4,0.108500037564568,654011.0679539443,27.1,30.232077837745617,4.0,11.177,44.71,0.41,2.66595,1.8014208497567996,7.31
3,5.51395196295479,65.3092668710748,1.44,28.4,0.108500037564568,654011.0679539443,27.1,30.232077837745617,4.0,11.177,44.71,0.41,2.66595,1.8014208497567996,7.31
0,2.90952722229322,18.6031876854574,1.16,29.93,0.255052417496175,904158.2045111776,26.4,26.283635324457155,5.0,5.74,28.7,0.28,2.06473,2.042556421831462,5.19
1,10.0271723120433,35.9829052814455,1.16,29.93,0.255052417496175,904158.2045111776,26.4,26.283635324457155,5.0,5.74,28.7,0.28,2.06473,2.042556421831462,5.19
2,3.11276012837647,13.8092628134902,1.16,29.93,0.255052417496175,904158.2045111776,26.4,26.283635324457155,5.0,5.74,28.7,0.28,2.06473,2.042556421831462,5.19
3,5.5127205873755,65.1982252933852,1.16,29.93,0.255052417496175,904158.2045111776,26.4,26.283635324457155,5.0,5.74,28.7,0.28,2.06473,2.042556421831462,5.19
0,2.78343102491216,18.1198189288299,0.42,22.17,0.93378368772108,32985575.524266925,18.2,13.93498930122313,146.0,2.896,422.82,2.74,12.64348,1.280336620346421,95.51
1,9.67484935542608,39.8184900794952,0.42,22.17,0.93378368772108,32985575.524266925,18.2,13.93498930122313,146.0,2.896,422.82,2.74,12.64348,1.280336620346421,95.51
2,3.34222649838311,19.4654075478643,0.42,22.17,0.93378368772108,32985575.524266925,18.2,13.93498930122313,146.0,2.896,422.82,2.74,12.64348,1.280336620346421,95.51
3,5.63250636669912,67.2818641593606,0.42,22.17,0.93378368772108,32985575.524266925,18.2,13.93498930122313,146.0,2.896,422.82,2.74,12.64348,1.280336620346421,95.51
0,2.85776688978891,18.4047730775241,1.16,32.28,0.109884101569135,670302.5121144381,30.3,30.34051820329224,4.0,2.954,11.82,0.27,1.9824,2.064175300708058,1.98
1,9.91344006491467,39.1669388262296,1.16,32.28,0.109884101569135,670302.5121144381,30.3,30.34051820329224,4.0,2.954,11.82,0.27,1.9824,2.064175300708058,1.98
2,3.27757462727418,17.8717956371968,1.16,32.28,0.109884101569135,670302.5121144381,30.3,30.34051820329224,4.0,2.954,11.82,0.27,1.9824,2.064175300708058,1.98
3,5.5624137994973,65.5389596236621,1.16,32.28,0.109884101569135,670302.5121144381,30.3,30.34051820329224,4.0,2.954,11.82,0.27,1.9824,2.064175300708058,1.98
0,2.828181473017,18.2913623132318,1.0,30.14,0.229112108711142,1813378.3789789656,27.0,25.455629260875543,5.0,2.713,13.57,0.47,3.2643,1.9490346369757368,4.92
1,9.89591421645459,41.3199899991051,1.0,30.14,0.229112108711142,1813378.3789789656,27.0,25.455629260875543,5.0,2.713,13.57,0.47,3.2643,1.9490346369757368,4.92
2,3.37840827600781,20.3572566279118,1.0,30.14,0.229112108711142,1813378.3789789656,27.0,25.455629260875543,5.0,2.713,13.57,0.47,3.2643,1.9490346369757368,4.92
3,5.60919347523624,66.0475601970286,1.0,30.14,0.229112108711142,1813378.3789789656,27.0,25.455629260875543,5.0,2.713,13.57,0.47,3.2643,1.9490346369757368,4.92
0,2.79726844956064,18.1728623899824,1.19,26.77,0.28386541886056,2404836.2270302656,24.3,25.080517525148704,14.0,3.576,50.06,0.66,4.53391,1.912130134669333,8.6
1,9.91556973907575,43.7614684715618,1.19,26.77,0.28386541886056,2404836.2270302656,24.3,25.080517525148704,14.0,3.576,50.06,0.66,4.53391,1.912130134669333,8.6
2,3.48374012802292,22.9535943837228,1.19,26.77,0.28386541886056,2404836.2270302656,24.3,25.080517525148704,14.0,3.576,50.06,0.66,4.53391,1.912130134669333,8.6
3,5.65828850401487,66.5695991389078,1.19,26.77,0.28386541886056,2404836.2270302656,24.3,25.080517525148704,14.0,3.576,50.06,0.66,4.53391,1.912130134669333,8.6
0,2.79833933349004,18.1769674450452,1.33,32.96,0.147248173240959,946203.443223039,29.5,28.86852196853441,5.0,4.079,20.4,0.33,2.5404,2.138602932526771,3.86
1,9.9763832061035,44.9491694188664,1.33,32.96,0.147248173240959,946203.443223039,29.5,28.86852196853441,5.0,4.079,20.4,0.33,2.5404,2.138602932526771,3.86
