storm,pr_max,pr_sum,MltnInd,SlopeMn,Tc_Clfr,Area_m2,RvrsSlD,MnRvrSD,nStrahler1,Dd_km-1,Ct_km,Tf_hr,L_toOutlet_km,V_m_s,LRiverNetwork_km
2,3.52566344800254,23.9869674463785,1.33,32.96,0.147248173240959,946203.443223039,29.5,28.86852196853441,5.0,4.079,20.4,0.33,2.5404,2.138602932526771,3.86
0,2.81225659497369,18.2303169473991,1.32,33.09,0.10290954024583,811076.9802192114,22.1,25.793422564902883,2.0,2.034,4.07,0.26,2.11118,2.270544724016856,1.65
1,9.94261282878162,43.4544775112038,1.32,33.09,0.10290954024583,811076.9802192114,22.1,25.793422564902883,2.0,2.034,4.07,0.26,2.11118,2.270544724016856,1.65
2,3.46617399581128,22.5206046335939,1.32,33.09,0.10290954024583,811076.9802192114,22.1,25.793422564902883,2.0,2.034,4.07,0.26,2.11118,2.270544724016856,1.65
0,2.80895042144454,18.2176432822041,0.48,28.51,0.612495614103407,13905701.625038715,23.7,16.652996599724723,65.0,3.34,217.1,1.59,8.05063,1.4085426270669728,46.44
1,9.85891315401263,41.8632491901575,0.48,28.51,0.612495614103407,13905701.625038715,23.7,16.652996599724723,65.0,3.34,217.1,1.59,8.05063,1.4085426270669728,46.44
2,3.40834455667987,21.0951596865827,0.48,28.51,0.612495614103407,13905701.625038715,23.7,16.652996599724723,65.0,3.34,217.1,1.59,8.05063,1.4085426270669728,46.44
3,5.4849155747156,63.9749451588392,0.48,28.51,0.612495614103407,13905701.625038715,23.7,16.652996599724723,65.0,3.34,217.1,1.59,8.05063,1.4085426270669728,46.44
0,2.8762243622575,18.4755267219871,1.44,28.08,0.168790080066085,813603.284391825,24.2,22.129721519297377,6.0,6.662,39.97,0.5,3.3680700000000003,1.8802453229409264,5.42
1,9.93696237832701,37.7819945525744,1.44,28.08,0.168790080066085,813603.284391825,24.2,22.129721519297377,6.0,6.662,39.97,0.5,3.3680700000000003,1.8802453229409264,5.42
2,3.20976221498198,16.2002791587663,1.44,28.08,0.168790080066085,813603.284391825,24.2,22.129721519297377,6.0,6.662,39.97,0.5,3.3680700000000003,1.8802453229409264,5.42
3,5.47520853009001,64.2255757366347,1.44,28.08,0.168790080066085,813603.284391825,24.2,22.129721519297377,6.0,6.662,39.97,0.5,3.3680700000000003,1.8802453229409264,5.42
0,2.89316526583949,18.5404668523847,1.54,29.46,0.185210588205006,752242.4298092077,25.5,25.03671814635152,4.0,6.66,26.64,0.4,2.87479,1.984459394187441,5.01
1,9.97579683043708,36.7504367645033,1.54,29.46,0.185210588205006,752242.4298092077,25.5,25.03671814635152,4.0,6.66,26.64,0.4,2.87479,1.984459394187441,5.01
2,3.15588807374665,14.8723288353341,1.54,29.46,0.185210588205006,752242.4298092077,25.5,25.03671814635152,4.0,6.66,26.64,0.4,2.87479,1.984459394187441,5.01
3,5.45180297001298,63.9658665306662,1.54,29.46,0.185210588205006,752242.4298092077,25.5,25.03671814635152,4.0,6.66,26.64,0.4,2.87479,1.984459394187441,5.01
0,2.90803895061296,18.5974826440163,1.19,29.22,0.187359685308252,1222745.51647457,26.8,27.85275428731787,7.0,4.964,34.75,0.45,3.1611100000000003,1.966425043761652,6.07
1,10.0173423036817,35.8727496983689,1.19,29.22,0.187359685308252,1222745.51647457,26.8,27.85275428731787,7.0,4.964,34.75,0.45,3.1611100000000003,1.966425043761652,6.07
2,3.10872517572714,13.7098047701163,1.19,29.22,0.187359685308252,1222745.51647457,26.8,27.85275428731787,7.0,4.964,34.75,0.45,3.1611100000000003,1.966425043761652,6.07
3,5.42341908335161,63.6020033767685,1.19,29.22,0.187359685308252,1222745.51647457,26.8,27.85275428731787,7.0,4.964,34.75,0.45,3.1611100000000003,1.966425043761652,6.07
0,2.92358016065125,18.6570572824965,1.39,31.91,0.104338607017121,785326.3252323336,30.1,30.478459840852008,4.0,5.883,23.53,0.37,2.70125,2.033710209890218,4.62
1,10.0802511049576,35.4910190037014,1.39,31.91,0.104338607017121,785326.3252323336,30.1,30.478459840852008,4.0,5.883,23.53,0.37,2.70125,2.033710209890218,4.62
2,3.08263831925089,13.0667866411843,1.39,31.91,0.104338607017121,785326.3252323336,30.1,30.478459840852008,4.0,5.883,23.53,0.37,2.70125,2.033710209890218,4.62
0,2.94225363422716,18.7286389312041,1.4,30.89,0.118455494800133,788602.9544380992,28.1,30.70170256284099,4.0,5.465,21.86,0.39,2.63594,1.8559104351736744,4.31
1,10.1566752875957,34.8482742013961,1.4,30.89,0.118455494800133,788602.9544380992,28.1,30.70170256284099,4.0,5.465,21.86,0.39,2.63594,1.8559104351736744,4.31
2,3.04260316800388,12.0799552814992,1.4,30.89,0.118455494800133,788602.9544380992,28.1,30.70170256284099,4.0,5.465,21.86,0.39,2.63594,1.8559104351736744,4.31
0,2.96632327297802,18.8209058797491,1.09,29.91,0.160065481271367,1293382.5389798223,24.7,25.79401183156713,3.0,4.113,12.34,0.39,2.77998,1.9735830973402144,5.32
1,10.2674988976265,34.1968764607167,1.09,29.91,0.160065481271367,1293382.5389798223,24.7,25.79401183156713,3.0,4.113,12.34,0.39,2.77998,1.9735830973402144,5.32
2,2.99846729571037,10.9920447451417,1.09,29.91,0.160065481271367,1293382.5389798223,24.7,25.79401183156713,3.0,4.113,12.34,0.39,2.77998,1.9735830973402144,5.32
3,5.4129350151789,63.6941545413659,1.09,29.91,0.160065481271367,1293382.5389798223,24.7,25.79401183156713,3.0,4.113,12.34,0.39,2.77998,1.9735830973402144,5.32
0,3.10350001265854,19.3467500485244,0.81,26.65,0.22675427545333,2442259.992357485,22.9,22.19746910111509,10.0,3.55,35.5,0.49,3.2486,1.837419830991258,8.67
1,11.046833297257,32.9093273135965,0.81,26.65,0.22675427545333,2442259.992357485,22.9,22.19746910111509,10.0,3.55,35.5,0.49,3.2486,1.837419830991258,8.67
2,2.85711031169702,7.507719086567,0.81,26.65,0.22675427545333,2442259.992357485,22.9,22.19746910111509,10.0,3.55,35.5,0.49,3.2486,1.837419830991258,8.67
3,5.36934760858817,63.4042417890003,0.81,26.65,0.22675427545333,2442259.992357485,22.9,22.19746910111509,10.0,3.55,35.5,0.49,3.2486,1.837419830991258,8.67
0,3.05019373813967,19.1424093295354,1.16,28.72,0.143980363116871,1137405.1653953134,24.4,22.861488426871865,3.0,4.123,12.37,0.67,2.43763,1.0056311051981914,4.69
1,10.7242720396489,33.0775715869694,1.16,28.72,0.143980363116871,1137405.1653953134,24.4,22.861488426871865,3.0,4.123,12.37,0.67,2.43763,1.0056311051981914,4.69
2,2.8964016413401,8.47621589619021,1.16,28.72,0.143980363116871,1137405.1653953134,24.4,22.861488426871865,3.0,4.123,12.37,0.67,2.43763,1.0056311051981914,4.69
3,5.39131969612641,63.6424759816563,1.16,28.72,0.143980363116871,1137405.1653953134,24.4,22.861488426871865,3.0,4.123,12.37,0.67,2.43763,1.0056311051981914,4.69
0,2.9866002848124,18.8986344251142,1.4,29.73,0.172355878032503,721685.094392364,26.2,26.82677122939771,9.0,9.215,82.94,1.7,2.20853,0.361350609627946,6.65
1,10.3700471291079,33.8323083763272,1.4,29.73,0.172355878032503,721685.094392364,26.2,26.82677122939771,9.0,9.215,82.94,1.7,2.20853,0.361350609627946,6.65
2,2.96951700060149,10.2784453657034,1.4,29.73,0.172355878032503,721685.094392364,26.2,26.82677122939771,9.0,9.215,82.94,1.7,2.20853,0.361350609627946,6.65
3,5.41625556829554,63.8418385811485,1.4,29.73,0.172355878032503,721685.094392364,26.2,26.82677122939771,9.0,9.215,82.94,1.7,2.20853,0.361350609627946,6.65
0,3.01540336127078,19.0090462182047,0.97,30.54,0.191075010253575,1493091.0303804865,24.0,25.95380513830877,9.0,4.648,41.83,0.28,2.00903,2.022026283093597,6.94
1,10.5249371213475,33.3935273774593,0.97,30.54,0.191075010253575,1493091.0303804865,24.0,25.95380513830877,9.0,4.648,41.83,0.28,2.00903,2.022026283093597,6.94
2,2.93188557273389,9.35086367879142,0.97,30.54,0.191075010253575,1493091.0303804865,24.0,25.95380513830877,9.0,4.648,41.83,0.28,2.00903,2.022026283093597,6.94
3,5.40329239365153,63.7304519709041,0.97,30.54,0.191075010253575,1493091.0303804865,24.0,25.95380513830877,9.0,4.648,41.83,0.28,2.00903,2.022026283093597,6.94
0,3.16065882069586,19.5658588126674,0.82,25.62,0.163262386551154,1497232.584579776,20.6,20.0914915454654,10.0,3.827,38.27,0.45,2.6853200000000004,1.6395802520114109,5.73
1,11.4059836605467,33.0364230793903,0.82,25.62,0.163262386551154,1497232.584579776,20.6,20.0914915454654,10.0,3.827,38.27,0.45,2.6853200000000004,1.6395802520114109,5.73
2,2.82987071204572,6.83628684954791,0.82,25.62,0.163262386551154,1497232.584579776,20.6,20.0914915454654,10.0,3.827,38.27,0.45,2.6853200000000004,1.6395802520114109,5.73
0,3.20553056903356,19.7378671812953,0.92,31.89,0.113521242645571,1066093.5446963129,23.6,29.74348583057315,5.0,3.489,17.44,1.31,2.89933,0.6126939422993309,3.72
1,11.6925599055035,33.2920222625,0.92,31.89,0.113521242645571,1066093.5446963129,23.6,29.74348583057315,5.0,3.489,17.44,1.31,2.89933,0.6126939422993309,3.72
2,2.81605549605689,6.49575389403388,0.92,31.89,0.113521242645571,1066093.5446963129,23.6,29.74348583057315,5.0,3.489,17.44,1.31,2.89933,0.6126939422993309,3.72
0,3.23833322993119,19.8636107147362,1.18,33.31,0.088970833408504,644307.6506545363,31.7,31.43640490585569,1.0,2.297,2.3,0.21,1.66698,2.2398278531274203,1.48
1,11.9037594574773,33.5286914083226,1.18,33.31,0.088970833408504,644307.6506545363,31.7,31.43640490585569,1.0,2.297,2.3,0.21,1.66698,2.2398278531274203,1.48
2,2.80838075848424,6.30657834509406,1.18,33.31,0.088970833408504,644307.6506545363,31.7,31.43640490585569,1.0,2.297,2.3,0.21,1.66698,2.2398278531274203,1.48
3,5.33260796625589,63.062998116425,1.18,33.31,0.088970833408504,644307.6506545363,31.7,31.43640490585569,1.0,2.297,2.3,0.21,1.66698,2.2398278531274203,1.48
0,3.24479139925595,19.8883670304812,1.08,28.41,0.097817596798196,674112.6189906915,28.4,29.22818136220882,4.0,3.175,12.7,0.26,1.86995,1.9673177581591117,2.14
1,11.9459581305986,33.5699510553105,1.08,28.41,0.097817596798196,674112.6189906915,28.4,29.22818136220882,4.0,3.175,12.7,0.26,1.86995,1.9673177581591117,2.14
2,2.80662341782066,6.26326143926369,1.08,28.41,0.097817596798196,674112.6189906915,28.4,29.22818136220882,4.0,3.175,12.7,0.26,1.86995,1.9673177581591117,2.14
3,5.32023541547687,62.8657983547848,1.08,28.41,0.097817596798196,674112.6189906915,28.4,29.22818136220882,4.0,3.175,12.7,0.26,1.86995,1.9673177581591117,2.14
0,2.74215526015263,17.9615951639184,0.58,29.35,1.57004596607489,10965544.204092572,23.9,16.478182297587693,51.0,2.995,152.74,1.7,8.0909,1.325883280517539,32.84
1,9.49151044695553,39.0738591548159,0.58,29.35,1.57004596607489,10965544.204092572,23.9,16.478182297587693,51.0,2.995,152.74,1.7,8.0909,1.325883280517539,32.84
2,3.33450187499637,19.2750023573668,0.58,29.35,1.57004596607489,10965544.204092572,23.9,16.478182297587693,51.0,2.995,152.74,1.7,8.0909,1.325883280517539,32.84
3,5.19285028193788,59.5475357450135,0.58,29.35,1.57004596607489,10965544.204092572,23.9,16.478182297587693,51.0,2.995,152.74,1.7,8.0909,1.325883280517539,32.84
0,2.77614124034556,18.091874754658,0.79,26.81,0.48763872649076,4032729.320860468,18.8,17.138243899750034,16.0,2.983,47.73,1.14,6.19774,1.5154051805688202,12.03
1,9.48702628185259,36.7372262148518,0.79,26.81,0.48763872649076,4032729.320860468,18.8,17.138243899750034,16.0,2.983,47.73,1.14,6.19774,1.5154051805688202,12.03
2,3.2216807383813,16.4940603057145,0.79,26.81,0.48763872649076,4032729.320860468,18.8,17.138243899750034,16.0,2.983,47.73,1.14,6.19774,1.5154051805688202,12.03
3,5.19424405058311,59.6480954432668,0.79,26.81,0.48763872649076,4032729.320860468,18.8,17.138243899750034,16.0,2.983,47.73,1.14,6.19774,1.5154051805688202,12.03
0,2.69587413402532,17.7841841804304,0.58,28.84,1.056863127733613,12871372.371893568,23.0,16.010430372430694,57.0,2.949,168.09,2.02,9.40981,1.293330714482485,37.96
1,9.38761267468657,39.8656895735942,0.58,28.84,1.056863127733613,12871372.371893568,23.0,16.010430372430694,57.0,2.949,168.09,2.02,9.40981,1.293330714482485,37.96
2,3.38830390295245,20.6011751517228,0.58,28.84,1.056863127733613,12871372.371893568,23.0,16.010430372430694,57.0,2.949,168.09,2.02,9.40981,1.293330714482485,37.96
3,5.1177037941199,58.2197607843266,0.58,28.84,1.056863127733613,12871372.371893568,23.0,16.010430372430694,57.0,2.949,168.09,2.02,9.40981,1.293330714482485,37.96
0,2.67153582109105,17.6908873141824,1.41,31.49,0.131657948040297,658146.3306104682,26.5,27.57604145720551,2.0,2.841,5.68,0.41,2.85482,1.9197361077815769,1.87
1,9.08359730938546,36.6849917875562,1.41,31.49,0.131657948040297,658146.3306104682,26.5,27.57604145720551,2.0,2.841,5.68,0.41,2.85482,1.9197361077815769,1.87
2,3.27884745639803,17.903169758583,1.41,31.49,0.131657948040297,658146.3306104682,26.5,27.57604145720551,2.0,2.841,5.68,0.41,2.85482,1.9197361077815769,1.87
0,2.66475140696296,17.664880393358,1.11,31.47,0.274665425373882,2290867.5772056147,29.9,27.69598300805902,10.0,3.754,37.54,0.52,3.73038,1.9874721558493371,8.6
1,9.15259572021456,37.9800825135509,1.11,31.47,0.274665425373882,2290867.5772056147,29.9,27.69598300805902,10.0,3.754,37.54,0.52,3.73038,1.9874721558493371,8.6
2,3.33336757614215,19.247042885609,1.11,31.47,0.274665425373882,2290867.5772056147,29.9,27.69598300805902,10.0,3.754,37.54,0.52,3.73038,1.9874721558493371,8.6
3,5.03806404411741,56.6659664096061,1.11,31.47,0.274665425373882,2290867.5772056147,29.9,27.69598300805902,10.0,3.754,37.54,0.52,3.73038,1.9874721558493371,8.6
0,2.686065286861,17.7465835996338,0.27,25.88,1.645502897025093,74591292.95689382,20.3,10.038114511661917,306.0,2.995,916.47,5.92,20.47876,0.960985178441072,223.42
1,10.0759873003096,50.315202813673,0.27,25.88,1.645502897025093,74591292.95689382,20.3,10.038114511661917,306.0,2.995,916.47,5.92,20.47876,0.960985178441072,223.42
2,3.73141777610483,29.0586311478472,0.27,25.88,1.645502897025093,74591292.95689382,20.3,10.038114511661917,306.0,2.995,916.47,5.92,20.47876,0.960985178441072,223.42
3,5.533576442831,64.3855301858092,0.27,25.88,1.645502897025093,74591292.95689382,20.3,10.038114511661917,306.0,2.995,916.47,5.92,20.47876,0.960985178441072,223.42
0,2.65050631729866,17.6102742163115,0.94,30.12,0.435159127596195,4774561.568367686,25.8,21.89354000101118,21.0,3.165,66.47,1.01,6.28213,1.7209230697234037,15.11
1,9.16634960214164,38.8146391340687,0.94,30.12,0.435159127596195,4774561.568367686,25.8,21.89354000101118,21.0,3.165,66.47,1.01,6.28213,1.7209230697234037,15.11
2,3.37248865923556,20.2113432671221,0.94,30.12,0.435159127596195,4774561.568367686,25.8,21.89354000101118,21.0,3.165,66.47,1.01,6.28213,1.7209230697234037,15.11
3,5.033729631429,56.5910252961159,0.94,30.12,0.435159127596195,4774561.568367686,25.8,21.89354000101118,21.0,3.165,66.47,1.01,6.28213,1.7209230697234037,15.11
0,2.61775197513272,17.4847159046754,0.38,26.28,1.192409819858786,34792062.27392982,20.1,10.752033398851562,166.0,2.963,491.86,3.86,15.79405,1.1367667773786985,103.09
1,9.34636354089488,42.3720182195512,0.38,26.28,1.192409819858786,34792062.27392982,20.1,10.752033398851562,166.0,2.963,491.86,3.86,15.79405,1.1367667773786985,103.09
2,3.51267256560393,23.6667535907636,0.38,26.28,1.192409819858786,34792062.27392982,20.1,10.752033398851562,166.0,2.963,491.86,3.86,15.79405,1.1367667773786985,103.09
3,5.07779129269115,57.9384007630396,0.38,26.28,1.192409819858786,34792062.27392982,20.1,10.752033398851562,166.0,2.963,491.86,3.86,15.79405,1.1367667773786985,103.09
0,2.58282067287059,17.3508125793373,0.61,30.31,0.419246804201308,9793271.805463657,27.1,17.53851514394934,48.0,3.674,176.35,1.12,6.25281,1.5486189589287689,35.98
1,9.03311358481929,39.7711931715031,0.61,30.31,0.419246804201308,9793271.805463657,27.1,17.53851514394934,48.0,3.674,176.35,1.12,6.25281,1.5486189589287689,35.98
2,3.44131923966736,21.9079566970639,0.61,30.31,0.419246804201308,9793271.805463657,27.1,17.53851514394934,48.0,3.674,176.35,1.12,6.25281,1.5486189589287689,35.98
3,5.01437367214598,56.7723291092611,0.61,30.31,0.419246804201308,9793271.805463657,27.1,17.53851514394934,48.0,3.674,176.35,1.12,6.25281,1.5486189589287689,35.98
0,2.60892362311859,17.4508738886212,0.35,26.54,0.977187104843826,27945124.046827048,20.7,12.660977008971573,106.0,2.676,283.66,2.66,10.99544,1.146987770998866,74.79
1,9.95356343827091,50.0826396840608,0.35,26.54,0.977187104843826,27945124.046827048,20.7,12.660977008971573,106.0,2.676,283.66,2.66,10.99544,1.146987770998866,74.79
2,3.74276909680523,29.3384312458132,0.35,26.54,0.977187104843826,27945124.046827048,20.7,12.660977008971573,106.0,2.676,283.66,2.66,10.99544,1.146987770998866,74.79
3,5.40175235056193,64.8459895305981,0.35,26.54,0.977187104843826,27945124.046827048,20.7,12.660977008971573,106.0,2.676,283.66,2.66,10.99544,1.146987770998866,74.79
0,2.60842315083324,17.4489554115274,0.94,24.82,0.393371137903145,1690111.1701162595,20.7,20.71960654024281,8.0,3.248,25.98,0.57,3.52587,1.7274209185953229,5.49
1,10.1702071224416,52.7392170824356,0.94,24.82,0.393371137903145,1690111.1701162595,20.7,20.71960654024281,8.0,3.248,25.98,0.57,3.52587,1.7274209185953229,5.49
2,3.81062646178204,31.0110557684872,0.94,24.82,0.393371137903145,1690111.1701162595,20.7,20.71960654024281,8.0,3.248,25.98,0.57,3.52587,1.7274209185953229,5.49
3,5.60303102178168,68.3552092320044,0.94,24.82,0.393371137903145,1690111.1701162595,20.7,20.71960654024281,8.0,3.248,25.98,0.57,3.52587,1.7274209185953229,5.49
0,2.61954908393858,17.4916048217646,0.79,29.35,0.658713232154471,6784743.631585275,25.7,18.29222715808345,32.0,3.465,110.88,1.27,7.34444,1.610591313699835,23.51
1,10.2554357169364,53.6776293217587,0.79,29.35,0.658713232154471,6784743.631585275,25.7,18.29222715808345,32.0,3.465,110.88,1.27,7.34444,1.610591313699835,23.51
2,3.83204446979431,31.5389908782633,0.79,29.35,0.658713232154471,6784743.631585275,25.7,18.29222715808345,32.0,3.465,110.88,1.27,7.34444,1.610591313699835,23.51
3,5.65731520446594,67.8448522512381,0.79,29.35,0.658713232154471,6784743.631585275,25.7,18.29222715808345,32.0,3.465,110.88,1.27,7.34444,1.610591313699835,23.51
0,2.6353829743035,17.5523014014967,0.73,31.92,0.931533845661884,9341233.09810974,26.7,19.587633917197536,41.0,2.962,121.44,1.5,8.356770000000001,1.5463142948799975,27.67
1,10.3214114070623,54.3728558170082,0.73,31.92,0.931533845661884,9341233.09810974,26.7,19.587633917197536,41.0,2.962,121.44,1.5,8.356770000000001,1.5463142948799975,27.67
2,3.84709231147545,31.9099069758423,0.73,31.92,0.931533845661884,9341233.09810974,26.7,19.587633917197536,41.0,2.962,121.44,1.5,8.356770000000001,1.5463142948799975,27.67
3,5.69751720706301,67.0579028635279,0.73,31.92,0.931533845661884,9341233.09810974,26.7,19.587633917197536,41.0,2.962,121.44,1.5,8.356770000000001,1.5463142948799975,27.67
0,2.6442496716301,17.5862904079154,0.96,32.1,0.301631940589344,4598086.405706612,29.1,26.931164870356803,23.0,4.45,102.35,0.99,6.08884,1.7113690791552885,20.46
1,10.4391392390527,55.8462639893945,0.96,32.1,0.301631940589344,4598086.405706612,29.1,26.931164870356803,23.0,4.45,102.35,0.99,6.08884,1.7113690791552885,20.46
2,3.8818140527709,32.7657674411073,0.96,32.1,0.301631940589344,4598086.405706612,29.1,26.931164870356803,23.0,4.45,102.35,0.99,6.08884,1.7113690791552885,20.46
3,5.78378581559402,67.0690259192835,0.96,32.1,0.301631940589344,4598086.405706612,29.1,26.931164870356803,23.0,4.45,102.35,0.99,6.08884,1.7113690791552885,20.46
0,2.64457693968939,17.587544935476,1.14,31.58,0.136896221432563,1312242.5936410753,29.5,27.969361963770357,6.0,4.885,29.31,0.33,2.40806,2.008242868071307,6.41
1,10.5117655054826,56.8016733918089,1.14,31.58,0.136896221432563,1312242.5936410753,29.5,27.969361963770357,6.0,4.885,29.31,0.33,2.40806,2.008242868071307,6.41
2,3.90431134272998,33.3203059041337,1.14,31.58,0.136896221432563,1312242.5936410753,29.5,27.969361963770357,6.0,4.885,29.31,0.33,2.40806,2.008242868071307,6.41
3,5.83364182631122,67.0370224115179,1.14,31.58,0.136896221432563,1312242.5936410753,29.5,27.969361963770357,6.0,4.885,29.31,0.33,2.40806,2.008242868071307,6.41
0,2.66092305085568,17.6502050282801,1.03,28.97,0.334443241953167,3675418.585510034,26.5,25.133404717568038,17.0,4.598,78.17,0.77,5.13727,1.858271514070172,16.9
1,10.5227121199063,56.8930848832623,1.03,28.97,0.334443241953167,3675418.585510034,26.5,25.133404717568038,17.0,4.598,78.17,0.77,5.13727,1.858271514070172,16.9
2,3.90576073267599,33.3560320949081,1.03,28.97,0.334443241953167,3675418.585510034,26.5,25.133404717568038,17.0,4.598,78.17,0.77,5.13727,1.858271514070172,16.9
3,5.83997581772324,66.6911154895082,1.03,28.97,0.334443241953167,3675418.585510034,26.5,25.133404717568038,17.0,4.598,78.17,0.77,5.13727,1.858271514070172,16.9
0,2.7535640784952,18.0053289675649,0.84,28.47,0.315610518181668,4473216.580204316,26.4,23.461747139563904,20.0,3.134,62.68,0.79,5.13479,1.7957613563897386,14.02
1,10.0392589347777,47.9921308682671,0.84,28.47,0.315610518181668,4473216.580204316,26.4,23.461747139563904,20.0,3.134,62.68,0.79,5.13479,1.7957613563897386,14.02
2,3.64336302200381,26.8881587002692,0.84,28.47,0.315610518181668,4473216.580204316,26.4,23.461747139563904,20.0,3.134,62.68,0.79,5.13479,1.7957613563897386,14.02
3,5.72736727797552,67.1157685297442,0.84,28.47,0.315610518181668,4473216.580204316,26.4,23.461747139563904,20.0,3.134,62.68,0.79,5.13479,1.7957613563897386,14.02
0,2.77983595665976,18.1060378338624,1.13,27.14,0.276672264365273,2371067.7702263305,22.8,23.205880757783188,6.0,2.661,15.97,0.66,4.457140000000001,1.8836333769781224,6.31
1,10.0190395864931,46.6510053649767,1.13,27.14,0.276672264365273,2371067.7702263305,22.8,23.205880757783188,6.0,2.661,15.97,0.66,4.457140000000001,1.8836333769781224,6.31
2,3.59098656397348,25.5971249540832,1.13,27.14,0.276672264365273,2371067.7702263305,22.8,23.205880757783188,6.0,2.661,15.97,0.66,4.457140000000001,1.8836333769781224,6.31
3,5.62257210414431,65.4652571825978,1.13,27.14,0.276672264365273,2371067.7702263305,22.8,23.205880757783188,6.0,2.661,15.97,0.66,4.457140000000001,1.8836333769781224,6.31
0,2.72777530723318,17.9064720110605,0.61,26.48,0.485284083594083,8350489.624037972,24.7,17.86469736574542,37.0,2.714,100.42,1.43,7.47963,1.45449443067267,22.66
1,10.1461052280404,50.5037621484519,0.61,26.48,0.485284083594083,8350489.624037972,24.7,17.86469736574542,37.0,2.714,100.42,1.43,7.47963,1.45449443067267,22.66
2,3.72723266557943,28.9554718445456,0.61,26.48,0.485284083594083,8350489.624037972,24.7,17.86469736574542,37.0,2.714,100.42,1.43,7.47963,1.45449443067267,22.66
3,5.76629602879561,67.3628346599789,0.61,26.48,0.485284083594083,8350489.624037972,24.7,17.86469736574542,37.0,2.714,100.42,1.43,7.47963,1.45449443067267,22.66
0,2.70032011465291,17.8012271061695,1.14,29.71,0.310222855011719,2009832.40301054,26.4,25.48740780588656,10.0,3.577,35.77,0.5,3.64457,2.022124915456893,7.19
1,10.5131486892728,56.6003730185276,1.14,29.71,0.310222855011719,2009832.40301054,26.4,25.48740780588656,10.0,3.577,35.77,0.5,3.64457,2.022124915456893,7.19
2,3.89678868394126,33.1348789638154,1.14,29.71,0.310222855011719,2009832.40301054,26.4,25.48740780588656,10.0,3.577,35.77,0.5,3.64457,2.022124915456893,7.19
3,5.85015961351968,66.5584070186753,1.14,29.71,0.310222855011719,2009832.40301054,26.4,25.48740780588656,10.0,3.577,35.77,0.5,3.64457,2.022124915456893,7.19
0,2.69086692227672,17.7649898687274,1.41,28.38,0.234904904441821,1375184.091421741,26.7,25.462002385118623,6.0,3.418,20.51,0.47,3.36691,1.9870097889610396,4.7
1,10.5535480118097,57.2363775350572,1.41,28.38,0.234904904441821,1375184.091421741,26.7,25.462002385118623,6.0,3.418,20.51,0.47,3.36691,1.9870097889610396,4.7
